"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_symbol","ENTREZ_GENE_ID"
"28967","227110_at",-1.88886349276946,3.15832328190547,-4.51248997330113,0.000223921929781154,0.22766301301245,0.547509393408572,"HNRNPC","3183"
"29100","227251_at",-0.870748634248803,4.32606451136681,-4.59008466715262,0.000187331141172591,0.22766301301245,0.69284837802167,"DCAF5","8816"
"29770","228008_at",0.951365185101839,2.91435092708809,4.06805943698256,0.000624865534211975,0.22766301301245,-0.293829854020598,"ARID3A","1820"
"30228","228543_at",-1.90678900048791,3.59330239208871,-4.12342186588915,0.000549749812732892,0.22766301301245,-0.188393122471239,"PET117","100303755"
"30266","228584_at",-1.13013838264893,2.94278659203113,-4.32996312925979,0.000341067128296146,0.22766301301245,0.203574734129927,"SGCB","6443"
"31020","229506_at",-1.08738735859569,2.56175093040875,-4.15135085387563,0.000515359106944915,0.22766301301245,-0.135253516324799,"PPM1L","151742"
"33425","232762_at",0.860564645210138,3.00471131442053,4.1724512219565,0.000490814272519769,0.22766301301245,-0.0951314274640298,"KIAA1217","56243"
"34476","234982_at",-1.69550780999029,3.13641780111785,-4.25366840051344,0.000406795569700738,0.22766301301245,0.0590786336131144,"UBR3","130507"
"34750","235305_s_at",1.41395342395296,3.01119909221444,4.26659248955738,0.000394826554324419,0.22766301301245,0.0835824339658719,"ECHDC2","55268"
"34822","235391_at",-1.13984983142449,3.23067837833361,-4.31471511904383,0.000353289176887864,0.22766301301245,0.174727356054817,"FAM92A1","137392"
"35312","236104_at",-1.71865186865497,4.14665379162141,-4.41086700595279,0.000282988113756937,0.22766301301245,0.3563513053871,"HNRNPLL","92906"
"36474","238458_at",-1.44882830851569,2.71505443394243,-4.0785111492701,0.000609937479715691,0.22766301301245,-0.273915312360766,"MICU3","286097"
"36944","239143_x_at",-1.05106825075996,2.75612969155635,-4.26660295884339,0.000394817003546309,0.22766301301245,0.0836022792825375,"RNF138","51444"
"38058","241866_at",-1.24887411279155,3.64958932940043,-4.24594504129226,0.000414121491928249,0.22766301301245,0.0444303940462545,"SLC16A7","9194"
"38271","242289_at",-1.46889485718034,3.85822098378533,-4.06819421176809,0.000624670728947826,0.22766301301245,-0.29357302986259,"MRPL42","28977"
"38525","242804_at",1.11745830639274,3.25161055180077,4.16012843426313,0.000505002583771727,0.22766301301245,-0.118560363940534,"POLN","353497"
"39529","37549_g_at",-1.11104944799351,2.95091319199977,-4.02282655883876,0.000693801259119976,0.22766301301245,-0.380060778469659,"BBS9","27241"
"9422","204160_s_at",-1.47062616344431,4.19063147247129,-3.98795682305164,0.000752090742848889,0.228715961935985,-0.446579415975469,"ENPP4","22875"
"10879","205712_at",-1.489293531095,2.78254874660428,-3.99352033327885,0.000742472705856372,0.228715961935985,-0.435964019449377,"PTPRD","5789"
"21476","218674_at",-1.32585837847828,2.26362950049165,-3.99552626507698,0.000739035129097397,0.228715961935985,-0.432136823428865,"TRAPPC13","80006"
"21696","218909_at",-1.25187518041866,4.91409611152927,-3.99612272632259,0.000738016040311285,0.228715961935985,-0.430998832441911,"RPS6KC1","26750"
"23040","220334_at",-0.914775718832187,2.41123713479069,-3.9880307502727,0.000751962127232612,0.228715961935985,-0.446438354634216,"RGS17","26575"
"36635","238686_at",-1.62846005117348,5.28554103259403,-3.98962088404243,0.000749200988667674,0.228715961935985,-0.443404237210784,"FBXO3","26273"
